,Title,Views,Date,Likes,Comments,Link
149,OnePlus 8T Review: The Awkward Middle Child!,3207226,2020-10-14,110855,9789,youtube.com/watch?v=VHt0LqGZVSY
150,Apple iPhone 12 Lineup Reactions!,6742082,2020-10-13,230853,26737,youtube.com/watch?v=k1v7_zScivQ
151,Why Don't People Buy Sony Smartphones?,6930487,2020-10-05,294507,34837,youtube.com/watch?v=j7QwJ-M_GAI
152,Apple Watch Series 6 Review: It's Bait!,4377713,2020-10-02,126796,6073,youtube.com/watch?v=XDamqi_3Aro
153,The Galaxy S20 Fan Edition: Hear Me Out!,4869727,2020-09-28,153485,38704,youtube.com/watch?v=azrdcp4yYas
154,The Ultimate iOS 14 Homescreen Setup Guide!,11013258,2020-09-24,297461,13410,youtube.com/watch?v=cH66LWWluVE
155,Can You Actually Game in 8K? (RTX 3090 Gameplay!),9787930,2020-09-22,304213,26754,youtube.com/watch?v=kFz9afj8lu0
156,Porsche Taycan Turbo: I Almost Switched!  [Auto Focus Ep 6],3989657,2020-09-21,150800,14355,youtube.com/watch?v=BAZX9p2oGOg
157,Xbox Series X/S Design Impressions!,2361759,2020-09-18,112451,9475,youtube.com/watch?v=UFDoLyAE1Bc
158,Apple Watch Series 6: Everything New! (Product RED),5294333,2020-09-17,159837,8917,youtube.com/watch?v=Mm0NvlXdz4A
159,Talking Tech and Holograms with Mark Zuckerberg!,3549480,2020-09-16,195656,16526,youtube.com/watch?v=eAagtcAup0o
160,Galaxy Z Fold 2 Review: Folding King... But For What?,2761625,2020-09-12,99126,8609,youtube.com/watch?v=G4E2bbAgjXg
161,"Surface Duo Review: The Good, The Bad & The Ugly!",2811333,2020-09-10,100985,7994,youtube.com/watch?v=0fB2cQFp008
162,Moto RAZR 2 Impressions: Nostalgia Reloaded?,2556199,2020-09-09,98054,5507,youtube.com/watch?v=qDSaOwBHwbs
163,Samsung Galaxy Z Fold 2 Unboxing: 3 Major Upgrades!,3468824,2020-09-02,137770,9080,youtube.com/watch?v=sy8K2VmWkDo
164,Surface Duo Unboxing & Impressions: Hinge Goals!,3034100,2020-08-26,120941,9544,youtube.com/watch?v=DJyxwIGdl8Y
165,Samsung Galaxy Nope 20!,3472178,2020-08-25,129456,13694,youtube.com/watch?v=Exk34o-MMIE
166,6K RED Komodo Impressions: The Mini Cine Camera!,1847262,2020-08-21,77174,5276,youtube.com/watch?v=9Hk_rvjtxKc
167,Galaxy Note 20 Ultra Review: It Better Be Good!,4628463,2020-08-18,152728,13509,youtube.com/watch?v=R94ntpWVelw
168,Dope Tech: The iPad Pro Killer?!,7634504,2020-08-17,255850,13116,youtube.com/watch?v=5NNO5Kb-PZo
169,Sony WH-1000XM4 Review: The Final Form!,4760486,2020-08-13,170930,9873,youtube.com/watch?v=bInJjmH31Hk
170,Dope Tech: Boston Dynamics Robot Dog!,6081318,2020-08-10,238030,15917,youtube.com/watch?v=s6_azdBnAlU
171,The Last Intel Mac VS The Osborne Effect!,1706072,2020-08-06,67698,4247,youtube.com/watch?v=6kAvCSMkYEI
172,Samsung Galaxy Note 20 Ultra Impressions: Ultra Premium!,3587675,2020-08-05,135315,16038,youtube.com/watch?v=mRvBCXMSrBE
173,Google Pixel 4a Review: Simple and Clean!,5704605,2020-08-03,193746,13332,youtube.com/watch?v=dlHnleQU9tQ
174,The TRUTH About OnePlus Nord!,4314083,2020-07-27,152632,9794,youtube.com/watch?v=Xzh8BdaaAvs
175,Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5],3597031,2020-07-24,128913,6511,youtube.com/watch?v=j52nXdQKFD0
176,Asus ROG Phone 3 Review: The Spec King Returns!,3509592,2020-07-22,119741,9221,youtube.com/watch?v=IEwEDTmqCEs
177,OnePlus Nord Impressions: Back to Budget!,2768844,2020-07-21,123140,9546,youtube.com/watch?v=Svf1lEUUCzU
178,Dope Tech: The Biggest Ultrawide Monitor!,4147927,2020-07-18,153117,5770,youtube.com/watch?v=nF4hg6g7SwE
179,OnePlus Nord Reveal! How Much Do Smartphones Actually Cost?,3892536,2020-07-14,171628,12859,youtube.com/watch?v=W-VInHvlrZo
180,Can You Trust MKBHD?,4181423,2020-07-09,252852,18864,youtube.com/watch?v=5nLWTVTwOhY
181,iPhone 12: What to Expect!,5043600,2020-07-06,162618,11784,youtube.com/watch?v=bATUW8G2ONE
182,On the iPhone 12 With No Charger...,4470358,2020-07-01,193678,35439,youtube.com/watch?v=8IB7JcKJEeI
183,Apple Responds to Your Comments!,6080708,2020-06-26,248178,17676,youtube.com/watch?v=Q2aaCDNjWEg
184,iOS 14 Hands-On: Everything New!,10411900,2020-06-23,320297,25558,youtube.com/watch?v=ZLyDvABxGF0
185,WWDC 2020 Impressions: Widgets and The Great Transition!,4767448,2020-06-22,210825,20989,youtube.com/watch?v=0we7kcmgDOw
186,Samsung Galaxy Buds Plus: The Go-To!,3109512,2020-06-19,120025,7624,youtube.com/watch?v=QZgIArBFmmE
187,PS5 Impressions: My Thoughts!,5690825,2020-06-17,216826,17693,youtube.com/watch?v=JztgJT547Vg
188,The Largest Daily Driver Unboxing!,2591801,2020-06-16,115640,12675,youtube.com/watch?v=gfC8Y66tR6o
189,Top 5 Android 11 Features: Big Tweaks!,3834152,2020-06-15,140050,8388,youtube.com/watch?v=pLjtItOE88s
190,CyberTruck Phone Impressions... Ridiculous,3717023,2020-06-11,140276,8371,youtube.com/watch?v=g9McJA3XEF4
191,Dope Tech:  The $3500 Bluetooth Speaker!,5629127,2020-06-09,168664,5429,youtube.com/watch?v=0FC94Tgz2ho
192,Reflecting on the Color of My Skin,6648699,2020-06-04,657022,50188,youtube.com/watch?v=o-_WXXVye3Y
193,Escobar Responds! A PSA,7103225,2020-05-29,279935,14858,youtube.com/watch?v=Ns8ydpZ5-4o
194,Poco F2 Pro: The Full Screen Deal!,4162052,2020-05-26,120403,8361,youtube.com/watch?v=bfbyCTyHFo4
195,How Teslas Upgrade Over Time!,3658600,2020-05-22,156292,5648,youtube.com/watch?v=_SoviSNZjso
196,Surface Headphones 2: Matte Black Everything!,1988799,2020-05-19,79487,4402,youtube.com/watch?v=ByayqNQU2fA
197,The Budget Phone Blueprint!,2384436,2020-05-15,90725,9630,youtube.com/watch?v=u41Zt6z5s7A
198,The Fastest Phone of 2020!,4246348,2020-05-13,126704,7671,youtube.com/watch?v=wUhf0sWhtKw
199,The $700 Mac Pro Wheels: Explained!,6847876,2020-05-09,228956,22560,youtube.com/watch?v=mBHY_Qaw5AI
200,"The 2020 13"" MacBook Pro Impressions: Wait a Minute!",4464503,2020-05-07,112715,7654,youtube.com/watch?v=Kl0E8p2IBmw
201,Google Pixel Buds Review: WAY Better!,4162801,2020-05-05,141703,8808,youtube.com/watch?v=48bK3mmjgRE
202,iPhone 11 Pro Review: 6 Months Later!,4048322,2020-05-02,127478,8465,youtube.com/watch?v=nxf41fMX_Y4
203,Moto Edge+ Review: We Need to Talk!,3967687,2020-04-30,119944,9570,youtube.com/watch?v=WIVUbBIrbM4
204,"World's ""FASTEST"" Gaming PC!",3383396,2020-04-27,145242,8769,youtube.com/watch?v=IUyrlM1qkGU
205,iPhone SE (2020) Review: It All Adds Up!,9563276,2020-04-22,296734,26852,youtube.com/watch?v=aXfiyuUziY0
206,Apple Magic Keyboard: Floating iPad Pro?,6666256,2020-04-20,184232,10878,youtube.com/watch?v=eNWG9KRAbCc
207,iPhone SE (2020) Honest Thoughts...,4281930,2020-04-17,161593,18017,youtube.com/watch?v=UK8HH3_q4yI
208,OnePlus 8 Review: Special No More!,3403668,2020-04-16,99481,7078,youtube.com/watch?v=OHP1rLwR6r8
209,OnePlus 8 Pro Review: Finally a Flagship!,6446979,2020-04-14,181080,15242,youtube.com/watch?v=LTDuGU38-70
210,Last Video in this Studio!,1584827,2020-04-06,97559,6321,youtube.com/watch?v=3qtIp8joCE0
211,What's On My Phone: 2020!,3881746,2020-03-28,121475,7833,youtube.com/watch?v=2xiCVNwhrDU
212,Huawei P40 Pro Impressions: What We Should Copy!,3713408,2020-03-26,96512,7851,youtube.com/watch?v=CF0Q4iozRIA
213,2020 iPad Pro Review: It's... A Computer?!,10170910,2020-03-24,243682,13241,youtube.com/watch?v=x_R-qzjZrKQ
214,2020 MacBook Air Impressions: A Clean Refresh!,5563093,2020-03-20,171948,6524,youtube.com/watch?v=koPg_DZUfOc
215,The Rollable Smartphone?,2807223,2020-03-16,96461,7818,youtube.com/watch?v=ASwVyfebu3E
216,Samsung Galaxy S20 Review: All the Right Moves!,4162873,2020-03-14,101072,7649,youtube.com/watch?v=58xXl597B_4
217,The Truth About the Escobar Folding Phone!,8698647,2020-03-10,350032,18255,youtube.com/watch?v=O8FJSjy3bXA
218,Oppo Find X2 Pro: One-Upping the Champ?,3056573,2020-03-06,88537,5272,youtube.com/watch?v=9arevpoH-4g
219,Samsung Galaxy S20 Ultra Review: Attack of the Numbers!,6935620,2020-03-02,143220,11494,youtube.com/watch?v=-wOdL7HFNOs
220,Xiaomi Mi Mix Alpha Impressions: The Wraparound Display!,15600590,2020-02-28,390327,23535,youtube.com/watch?v=PTpoj4f25dk
221,The 2020 Mac Pro: A Silent Killer!,4106348,2020-02-25,123815,7990,youtube.com/watch?v=7wZbsAzNt1o
222,MKBHD Studio 2020 Build: Part 1!,2245469,2020-02-23,100498,5942,youtube.com/watch?v=NZzQQ1090wc
